Episode 59: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 8394: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.0999999999999925, Action: phi_i_H[1] decreased by 0.1
Episode 8404: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.3000000000000003, Action: phi_i_L[0] decreased by 0.1
Episode 8416: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.2000000000000015, Action: phi_i_L[0] decreased by 0.1
Episode 8433: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 9.799999999999985, Action: phi_i_L[2] increased by 0.1
Episode 8439: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.0999999999999925, Action: phi_i_L[2] increased by 0.1
Episode 8448: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_L[4] decreased by 0.1
Episode 8458: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.000000000000002, Action: phi_i_H[5] increased by 0.1
Episode 8462: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.2, Action: phi_i_H[0] decreased by 0.1
Episode 8482: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.0999999999999925, Action: phi_i_L[1] decreased by 0.1
Episode 8486: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 9.899999999999984, Action: phi_i_H[2] increased by 0.1
Episode 8492: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[2] increased by 0.1
Episode 8512: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.0999999999999925, Action: phi_i_H[2] increased by 0.1
Episode 8516: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[3] increased by 0.1
Episode 8517: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 2.9000000000000012, Action: phi_i_H[3] increased by 0.1
Episode 8559: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_L[3] decreased by 0.1
Episode 8560: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.000000000000002, Action: phi_i_L[3] decreased by 0.1
Episode 8583: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[4] increased by 0.1
Episode 8585: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.1, Action: phi_i_H[0] decreased by 0.1
Episode 8592: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.0999999999999925, Action: phi_i_H[0] decreased by 0.1
Episode 8597: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[4] decreased by 0.1
Episode 8598: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_H[5] increased by 0.1
Episode 8603: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[5] increased by 0.1
Episode 8616: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.1, Action: phi_i_H[5] increased by 0.1
Episode 8620: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[5] increased by 0.1
Episode 8627: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_H[1] increased by 0.1
Episode 8631: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 9.899999999999984, Action: phi_i_H[1] increased by 0.1
Episode 8660: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 9.999999999999984, Action: phi_i_H[2] increased by 0.1
Episode 8664: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_H[2] increased by 0.1
Episode 8676: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.0, Action: phi_i_H[0] decreased by 0.1
Episode 8695: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 8711: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_H[0] decreased by 0.1
Episode 8716: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.0, Action: phi_i_L[0] decreased by 0.1
Episode 8719: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[4] decreased by 0.1
Episode 8720: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 9.999999999999984, Action: phi_i_L[4] decreased by 0.1
Episode 8735: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.3000000000000016, Action: phi_i_L[3] decreased by 0.1
Episode 8745: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 8767: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_L[3] decreased by 0.1
Episode 8771: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[3] decreased by 0.1
Episode 8777: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.0, Action: phi_i_L[3] decreased by 0.1
Episode 8789: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[3] decreased by 0.1
Episode 8798: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 10.099999999999984, Action: phi_i_H[2] increased by 0.1
Episode 8819: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.0, Action: phi_i_L[0] decreased by 0.1
Episode 8821: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_L[0] decreased by 0.1
Episode 8822: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 8849: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.199999999999992, Action: phi_i_L[0] decreased by 0.1
Episode 8851: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 10.099999999999984, Action: phi_i_L[0] decreased by 0.1
Episode 8855: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.4000000000000017, Action: phi_i_H[3] increased by 0.1
Episode 8865: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[3] increased by 0.1
Episode 8874: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.4000000000000017, Action: phi_i_L[3] increased by 0.1
Episode 8883: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_L[3] increased by 0.1
Episode 8885: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[3] increased by 0.1
Episode 8913: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.100000000000001, Action: phi_i_L[3] increased by 0.1
Episode 8923: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 2.0, Action: phi_i_L[3] increased by 0.1
Episode 8944: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.9, Action: phi_i_H[0] decreased by 0.1
Episode 8956: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.0999999999999925, Action: phi_i_H[1] decreased by 0.1
Episode 8958: lambda_i = 1, phi_i_L = 1.399999999999999, phi_i_H = 6.0999999999999925, Action: phi_i_L[1] decreased by 0.1
Episode 8969: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.4000000000000017, Action: phi_i_L[1] decreased by 0.1
Episode 8973: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 10.099999999999984, Action: phi_i_L[1] decreased by 0.1
Episode 8974: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 4.200000000000001, Action: phi_i_H[5] increased by 0.1
Episode 8979: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[5] increased by 0.1
Episode 8982: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 10.099999999999984, Action: phi_i_H[5] increased by 0.1
Episode 8992: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_L[5] increased by 0.1
Episode 8994: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[5] increased by 0.1
Episode 9014: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.7999999999999998, Action: phi_i_H[0] decreased by 0.1
Episode 9041: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.0999999999999925, Action: phi_i_L[1] increased by 0.1
Episode 9046: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.4000000000000017, Action: phi_i_L[1] increased by 0.1
Episode 9061: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.4000000000000017, Action: phi_i_L[1] increased by 0.1
Episode 9068: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_L[1] increased by 0.1
Episode 9070: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[1] increased by 0.1
Episode 9078: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.7999999999999998, Action: phi_i_L[1] increased by 0.1
Episode 9094: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.0999999999999925, Action: phi_i_L[1] increased by 0.1
Episode 9095: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 10.099999999999984, Action: phi_i_L[1] increased by 0.1
Episode 9123: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 6.0999999999999925, Action: phi_i_L[1] increased by 0.1
Episode 9129: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.6999999999999997, Action: phi_i_H[0] decreased by 0.1
Episode 9147: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.4000000000000017, Action: phi_i_H[0] decreased by 0.1
Episode 9152: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 10.099999999999984, Action: phi_i_L[2] increased by 0.1
Episode 9167: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_L[2] increased by 0.1
Episode 9173: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[2] increased by 0.1
Episode 9175: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 10.099999999999984, Action: phi_i_L[2] increased by 0.1
Episode 9193: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_L[5] increased by 0.1
Episode 9198: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.999999999999993, Action: phi_i_H[1] decreased by 0.1
Episode 9206: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[1] decreased by 0.1
Episode 9216: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.999999999999993, Action: phi_i_H[1] decreased by 0.1
Episode 9226: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 10.099999999999984, Action: phi_i_L[2] increased by 0.1
Episode 9231: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.6999999999999997, Action: phi_i_L[2] increased by 0.1
Episode 9244: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_L[2] increased by 0.1
Episode 9253: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[3] decreased by 0.1
Episode 9288: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.5999999999999996, Action: phi_i_H[0] decreased by 0.1
Episode 9292: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 9297: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_H[0] decreased by 0.1
Episode 9308: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 9311: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 9319: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.999999999999993, Action: phi_i_H[0] decreased by 0.1
Episode 9328: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 9340: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 10.099999999999984, Action: phi_i_H[0] decreased by 0.1
Episode 9350: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.5999999999999996, Action: phi_i_H[0] decreased by 0.1
Episode 9367: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.3000000000000016, Action: phi_i_L[3] increased by 0.1
Episode 9370: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.0000000000000013, Action: phi_i_L[3] increased by 0.1
Episode 9383: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.3000000000000016, Action: phi_i_L[3] increased by 0.1
Episode 9384: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 10.099999999999984, Action: phi_i_L[3] increased by 0.1
Episode 9398: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.4999999999999996, Action: phi_i_H[0] decreased by 0.1
Episode 9403: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 9414: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 9418: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.999999999999993, Action: phi_i_H[0] decreased by 0.1
Episode 9443: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.999999999999993, Action: phi_i_H[0] decreased by 0.1
Episode 9451: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[4] increased by 0.1
Episode 9464: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 9.999999999999984, Action: phi_i_H[2] decreased by 0.1
Episode 9467: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[2] decreased by 0.1
Episode 9476: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_H[2] decreased by 0.1
Episode 9487: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.3000000000000016, Action: phi_i_H[2] decreased by 0.1
Episode 9499: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.3999999999999995, Action: phi_i_H[0] decreased by 0.1
Episode 9507: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 9524: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[0] decreased by 0.1
Episode 9531: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 9537: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 9.999999999999984, Action: phi_i_L[2] increased by 0.1
Episode 9544: lambda_i = 1, phi_i_L = 1.4999999999999991, phi_i_H = 5.899999999999993, Action: phi_i_H[1] decreased by 0.1
Episode 9553: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.899999999999993, Action: phi_i_L[1] increased by 0.1
Episode 9573: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.2999999999999994, Action: phi_i_H[0] decreased by 0.1
Episode 9581: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.2999999999999994, Action: phi_i_H[0] decreased by 0.1
Episode 9589: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 9.999999999999984, Action: phi_i_H[0] decreased by 0.1
Episode 9593: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 9605: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[0] decreased by 0.1
Episode 9616: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 9628: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 9630: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 3.3000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 9636: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.2999999999999994, Action: phi_i_H[0] decreased by 0.1
Episode 9654: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[0] decreased by 0.1
Episode 9659: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 10.099999999999984, Action: phi_i_H[2] increased by 0.1
Episode 9686: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.3000000000000016, Action: phi_i_L[3] decreased by 0.1
Episode 9701: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.899999999999993, Action: phi_i_L[3] decreased by 0.1
Episode 9703: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 10.099999999999984, Action: phi_i_L[2] increased by 0.1
Episode 9714: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 10.099999999999984, Action: phi_i_L[2] increased by 0.1
Episode 9715: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.2999999999999994, Action: phi_i_L[2] increased by 0.1
Episode 9718: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.899999999999993, Action: phi_i_L[2] increased by 0.1
Episode 9735: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.200000000000001, Action: phi_i_L[2] increased by 0.1
Episode 9760: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[2] increased by 0.1
Episode 9764: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[2] increased by 0.1
Episode 9772: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 3.4000000000000017, Action: phi_i_H[3] increased by 0.1
Episode 9779: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.2999999999999994, Action: phi_i_H[3] increased by 0.1
Episode 9783: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 10.099999999999984, Action: phi_i_H[3] increased by 0.1
Episode 9793: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.4000000000000017, Action: phi_i_L[3] decreased by 0.1
Episode 9797: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_L[5] decreased by 0.1
Episode 9809: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.899999999999993, Action: phi_i_L[5] decreased by 0.1
Episode 9828: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.999999999999993, Action: phi_i_H[1] increased by 0.1
Episode 9842: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[1] increased by 0.1
Episode 9844: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.300000000000001, Action: phi_i_H[5] increased by 0.1
Episode 9848: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_H[3] increased by 0.1
Episode 9860: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_H[3] increased by 0.1
Episode 9881: lambda_i = 2, phi_i_L = 4.6, phi_i_H = 10.099999999999984, Action: phi_i_H[3] increased by 0.1
Episode 9892: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.2999999999999994, Action: phi_i_L[0] decreased by 0.1
Episode 9903: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.2999999999999994, Action: phi_i_L[0] decreased by 0.1
Episode 9920: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.300000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 9921: lambda_i = 2, phi_i_L = 4.699999999999999, phi_i_H = 10.099999999999984, Action: phi_i_L[2] increased by 0.1
Episode 9929: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_L[3] decreased by 0.1
Episode 9943: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.300000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 9951: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 3.1000000000000014, Action: phi_i_L[3] decreased by 0.1
Episode 9961: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 5.999999999999993, Action: phi_i_L[3] decreased by 0.1
Episode 9971: lambda_i = 1, phi_i_L = 1.5999999999999992, phi_i_H = 6.0999999999999925, Action: phi_i_H[1] increased by 0.1
Episode 9972: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 3.5000000000000018, Action: phi_i_H[1] increased by 0.1
Episode 9998: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 1.2999999999999994, Action: phi_i_H[1] increased by 0.1
