Episode 73: lambda_i = 0, phi_i_L = 3.6, phi_i_H = 4.5, Action: phi_i_L[0] increased by 0.1
Episode 8517: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 8520: lambda_i = 2, phi_i_L = 0.9999999999999992, phi_i_H = 9.499999999999986, Action: phi_i_L[4] decreased by 0.1
Episode 8525: lambda_i = 1, phi_i_L = 0.4, phi_i_H = 7.499999999999988, Action: phi_i_H[1] increased by 0.1
Episode 8531: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.899999999999999, Action: phi_i_H[3] increased by 0.1
Episode 8540: lambda_i = 1, phi_i_L = 0.4, phi_i_H = 7.499999999999988, Action: phi_i_H[3] increased by 0.1
Episode 8560: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 8574: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 5.099999999999998, Action: phi_i_L[5] decreased by 0.1
Episode 8581: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 5.1999999999999975, Action: phi_i_H[5] increased by 0.1
Episode 8598: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.899999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 8602: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 8614: lambda_i = 2, phi_i_L = 0.9999999999999992, phi_i_H = 9.499999999999986, Action: phi_i_L[3] decreased by 0.1
Episode 8617: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_L[3] decreased by 0.1
Episode 8620: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.899999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 8621: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 8624: lambda_i = 2, phi_i_L = 0.8999999999999992, phi_i_H = 9.499999999999986, Action: phi_i_L[2] decreased by 0.1
Episode 8635: lambda_i = 1, phi_i_L = 0.4, phi_i_H = 7.599999999999987, Action: phi_i_H[1] increased by 0.1
Episode 8670: lambda_i = 2, phi_i_L = 0.8999999999999992, phi_i_H = 9.399999999999986, Action: phi_i_H[2] decreased by 0.1
Episode 8691: lambda_i = 1, phi_i_L = 0.4, phi_i_H = 7.599999999999987, Action: phi_i_H[2] decreased by 0.1
Episode 8697: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.899999999999999, Action: phi_i_H[2] decreased by 0.1
Episode 8708: lambda_i = 2, phi_i_L = 0.8999999999999992, phi_i_H = 9.399999999999986, Action: phi_i_H[2] decreased by 0.1
Episode 8713: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[2] decreased by 0.1
Episode 8718: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 5.1999999999999975, Action: phi_i_L[5] increased by 0.1
Episode 8731: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[3] decreased by 0.1
Episode 8741: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 5.099999999999998, Action: phi_i_H[5] decreased by 0.1
Episode 8748: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.300000000000001, Action: phi_i_H[0] increased by 0.1
Episode 8753: lambda_i = 1, phi_i_L = 0.4, phi_i_H = 7.599999999999987, Action: phi_i_H[0] increased by 0.1
Episode 8764: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 4.300000000000001, Action: phi_i_L[0] increased by 0.1
Episode 8781: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_L[4] increased by 0.1
Episode 8795: lambda_i = 1, phi_i_L = 0.5, phi_i_H = 7.599999999999987, Action: phi_i_L[1] increased by 0.1
Episode 8802: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_H[4] decreased by 0.1
Episode 8805: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.999999999999998, Action: phi_i_H[5] decreased by 0.1
Episode 8810: lambda_i = 2, phi_i_L = 0.8999999999999992, phi_i_H = 9.299999999999986, Action: phi_i_H[2] decreased by 0.1
Episode 8817: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.999999999999998, Action: phi_i_H[2] decreased by 0.1
Episode 8824: lambda_i = 2, phi_i_L = 0.8999999999999992, phi_i_H = 9.299999999999986, Action: phi_i_H[2] decreased by 0.1
Episode 8825: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.300000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 8850: lambda_i = 1, phi_i_L = 0.5, phi_i_H = 7.599999999999987, Action: phi_i_L[0] decreased by 0.1
Episode 8883: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 8890: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 8894: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 8896: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 8913: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.6, Action: phi_i_H[4] decreased by 0.1
Episode 8915: lambda_i = 2, phi_i_L = 0.9999999999999992, phi_i_H = 9.299999999999986, Action: phi_i_L[2] increased by 0.1
Episode 8938: lambda_i = 1, phi_i_L = 0.6, phi_i_H = 7.599999999999987, Action: phi_i_L[1] increased by 0.1
Episode 8943: lambda_i = 2, phi_i_L = 0.9999999999999992, phi_i_H = 9.199999999999987, Action: phi_i_H[2] decreased by 0.1
Episode 8961: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 4.799999999999999, Action: phi_i_H[2] decreased by 0.1
Episode 8962: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.999999999999998, Action: phi_i_H[2] decreased by 0.1
Episode 8968: lambda_i = 3, phi_i_L = 0.1, phi_i_H = 4.799999999999999, Action: phi_i_L[3] increased by 0.1
Episode 8978: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.999999999999998, Action: phi_i_L[3] increased by 0.1
Episode 8988: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.200000000000001, Action: phi_i_L[3] increased by 0.1
Episode 9005: lambda_i = 4, phi_i_L = 0.1, phi_i_H = 4.5, Action: phi_i_H[4] decreased by 0.1
Episode 9007: lambda_i = 4, phi_i_L = 0.2, phi_i_H = 4.5, Action: phi_i_L[4] increased by 0.1
Episode 9020: lambda_i = 1, phi_i_L = 0.6, phi_i_H = 7.499999999999988, Action: phi_i_H[1] decreased by 0.1
Episode 9031: lambda_i = 2, phi_i_L = 1.0999999999999992, phi_i_H = 9.199999999999987, Action: phi_i_L[2] increased by 0.1
Episode 9034: lambda_i = 2, phi_i_L = 1.0999999999999992, phi_i_H = 9.099999999999987, Action: phi_i_H[2] decreased by 0.1
Episode 9036: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.100000000000001, Action: phi_i_H[0] decreased by 0.1
Episode 9074: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.999999999999998, Action: phi_i_H[0] decreased by 0.1
Episode 9080: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 4.799999999999999, Action: phi_i_L[3] increased by 0.1
Episode 9085: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 4.699999999999999, Action: phi_i_H[3] decreased by 0.1
Episode 9105: lambda_i = 1, phi_i_L = 0.7, phi_i_H = 7.499999999999988, Action: phi_i_L[1] increased by 0.1
Episode 9106: lambda_i = 2, phi_i_L = 1.0999999999999992, phi_i_H = 9.099999999999987, Action: phi_i_L[1] increased by 0.1
Episode 9108: lambda_i = 4, phi_i_L = 0.2, phi_i_H = 4.4, Action: phi_i_H[4] decreased by 0.1
Episode 9113: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 4.000000000000002, Action: phi_i_H[0] decreased by 0.1
Episode 9121: lambda_i = 4, phi_i_L = 0.30000000000000004, phi_i_H = 4.4, Action: phi_i_L[4] increased by 0.1
Episode 9129: lambda_i = 1, phi_i_L = 0.7, phi_i_H = 7.399999999999988, Action: phi_i_H[1] decreased by 0.1
Episode 9158: lambda_i = 2, phi_i_L = 1.0999999999999992, phi_i_H = 9.099999999999987, Action: phi_i_H[1] decreased by 0.1
Episode 9177: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 3.9000000000000017, Action: phi_i_H[0] decreased by 0.1
Episode 9181: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.999999999999998, Action: phi_i_H[0] decreased by 0.1
Episode 9186: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.899999999999999, Action: phi_i_H[5] decreased by 0.1
Episode 9193: lambda_i = 1, phi_i_L = 0.7999999999999999, phi_i_H = 7.399999999999988, Action: phi_i_L[1] increased by 0.1
Episode 9197: lambda_i = 2, phi_i_L = 1.0999999999999992, phi_i_H = 9.099999999999987, Action: phi_i_L[1] increased by 0.1
Episode 9210: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 4.699999999999999, Action: phi_i_L[1] increased by 0.1
Episode 9224: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 3.9000000000000017, Action: phi_i_L[0] increased by 0.1
Episode 9226: lambda_i = 4, phi_i_L = 0.30000000000000004, phi_i_H = 4.300000000000001, Action: phi_i_H[4] decreased by 0.1
Episode 9231: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 4.6, Action: phi_i_H[3] decreased by 0.1
Episode 9237: lambda_i = 2, phi_i_L = 1.0999999999999992, phi_i_H = 8.999999999999988, Action: phi_i_H[2] decreased by 0.1
Episode 9253: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 3.8000000000000016, Action: phi_i_H[0] decreased by 0.1
Episode 9275: lambda_i = 1, phi_i_L = 0.7999999999999999, phi_i_H = 7.299999999999988, Action: phi_i_H[1] decreased by 0.1
Episode 9278: lambda_i = 5, phi_i_L = 0.1, phi_i_H = 4.899999999999999, Action: phi_i_H[1] decreased by 0.1
Episode 9289: lambda_i = 5, phi_i_L = 0.2, phi_i_H = 4.899999999999999, Action: phi_i_L[5] increased by 0.1
Episode 9296: lambda_i = 4, phi_i_L = 0.30000000000000004, phi_i_H = 4.300000000000001, Action: phi_i_L[5] increased by 0.1
Episode 9300: lambda_i = 2, phi_i_L = 1.1999999999999993, phi_i_H = 8.999999999999988, Action: phi_i_L[2] increased by 0.1
Episode 9309: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 3.8000000000000016, Action: phi_i_L[2] increased by 0.1
Episode 9321: lambda_i = 3, phi_i_L = 0.2, phi_i_H = 4.5, Action: phi_i_H[3] decreased by 0.1
Episode 9338: lambda_i = 1, phi_i_L = 0.8999999999999999, phi_i_H = 7.299999999999988, Action: phi_i_L[1] increased by 0.1
Episode 9358: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 3.7000000000000015, Action: phi_i_H[0] decreased by 0.1
Episode 9363: lambda_i = 4, phi_i_L = 0.30000000000000004, phi_i_H = 4.200000000000001, Action: phi_i_H[4] decreased by 0.1
Episode 9369: lambda_i = 2, phi_i_L = 1.1999999999999993, phi_i_H = 8.999999999999988, Action: phi_i_H[4] decreased by 0.1
Episode 9370: lambda_i = 3, phi_i_L = 0.30000000000000004, phi_i_H = 4.5, Action: phi_i_L[3] increased by 0.1
Episode 9381: lambda_i = 1, phi_i_L = 0.8999999999999999, phi_i_H = 7.199999999999989, Action: phi_i_H[1] decreased by 0.1
Episode 9393: lambda_i = 5, phi_i_L = 0.30000000000000004, phi_i_H = 4.899999999999999, Action: phi_i_L[5] increased by 0.1
Episode 9394: lambda_i = 2, phi_i_L = 1.1999999999999993, phi_i_H = 8.999999999999988, Action: phi_i_L[5] increased by 0.1
Episode 9403: lambda_i = 4, phi_i_L = 0.30000000000000004, phi_i_H = 4.200000000000001, Action: phi_i_L[5] increased by 0.1
Episode 9422: lambda_i = 3, phi_i_L = 0.30000000000000004, phi_i_H = 4.4, Action: phi_i_H[3] decreased by 0.1
Episode 9433: lambda_i = 5, phi_i_L = 0.30000000000000004, phi_i_H = 4.799999999999999, Action: phi_i_H[5] decreased by 0.1
Episode 9470: lambda_i = 4, phi_i_L = 0.30000000000000004, phi_i_H = 4.100000000000001, Action: phi_i_H[4] decreased by 0.1
Episode 9476: lambda_i = 1, phi_i_L = 0.9999999999999999, phi_i_H = 7.199999999999989, Action: phi_i_L[1] increased by 0.1
Episode 9482: lambda_i = 2, phi_i_L = 1.1999999999999993, phi_i_H = 8.999999999999988, Action: phi_i_L[1] increased by 0.1
Episode 9493: lambda_i = 3, phi_i_L = 0.30000000000000004, phi_i_H = 4.4, Action: phi_i_L[1] increased by 0.1
Episode 9502: lambda_i = 3, phi_i_L = 0.30000000000000004, phi_i_H = 4.4, Action: phi_i_L[1] increased by 0.1
Episode 9507: lambda_i = 5, phi_i_L = 0.30000000000000004, phi_i_H = 4.799999999999999, Action: phi_i_L[1] increased by 0.1
Episode 9509: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 3.7000000000000015, Action: phi_i_L[1] increased by 0.1
Episode 9517: lambda_i = 4, phi_i_L = 0.4, phi_i_H = 4.100000000000001, Action: phi_i_L[4] increased by 0.1
Episode 9525: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 3.6000000000000014, Action: phi_i_H[0] decreased by 0.1
Episode 9529: lambda_i = 5, phi_i_L = 0.30000000000000004, phi_i_H = 4.799999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 9547: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 8.999999999999988, Action: phi_i_L[2] increased by 0.1
Episode 9552: lambda_i = 1, phi_i_L = 0.9999999999999999, phi_i_H = 7.099999999999989, Action: phi_i_H[1] decreased by 0.1
Episode 9572: lambda_i = 1, phi_i_L = 1.0999999999999999, phi_i_H = 7.099999999999989, Action: phi_i_L[1] increased by 0.1
Episode 9577: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 3.6000000000000014, Action: phi_i_L[1] increased by 0.1
Episode 9578: lambda_i = 4, phi_i_L = 0.4, phi_i_H = 4.100000000000001, Action: phi_i_L[1] increased by 0.1
Episode 9591: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 8.899999999999988, Action: phi_i_H[2] decreased by 0.1
Episode 9593: lambda_i = 3, phi_i_L = 0.30000000000000004, phi_i_H = 4.4, Action: phi_i_H[2] decreased by 0.1
Episode 9611: lambda_i = 3, phi_i_L = 0.20000000000000004, phi_i_H = 4.4, Action: phi_i_L[3] decreased by 0.1
Episode 9614: lambda_i = 4, phi_i_L = 0.30000000000000004, phi_i_H = 4.100000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 9626: lambda_i = 0, phi_i_L = 0.2, phi_i_H = 3.5000000000000013, Action: phi_i_H[0] decreased by 0.1
Episode 9641: lambda_i = 5, phi_i_L = 0.30000000000000004, phi_i_H = 4.799999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 9661: lambda_i = 5, phi_i_L = 0.30000000000000004, phi_i_H = 4.799999999999999, Action: phi_i_H[0] decreased by 0.1
Episode 9666: lambda_i = 1, phi_i_L = 1.2, phi_i_H = 7.099999999999989, Action: phi_i_L[1] increased by 0.1
Episode 9680: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 8.899999999999988, Action: phi_i_L[1] increased by 0.1
Episode 9688: lambda_i = 1, phi_i_L = 1.2, phi_i_H = 7.099999999999989, Action: phi_i_L[1] increased by 0.1
Episode 9689: lambda_i = 4, phi_i_L = 0.30000000000000004, phi_i_H = 4.100000000000001, Action: phi_i_L[1] increased by 0.1
Episode 9714: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 3.5000000000000013, Action: phi_i_L[0] decreased by 0.1
Episode 9724: lambda_i = 3, phi_i_L = 0.20000000000000004, phi_i_H = 4.4, Action: phi_i_L[0] decreased by 0.1
Episode 9730: lambda_i = 4, phi_i_L = 0.30000000000000004, phi_i_H = 4.100000000000001, Action: phi_i_L[0] decreased by 0.1
Episode 9732: lambda_i = 5, phi_i_L = 0.30000000000000004, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 9744: lambda_i = 3, phi_i_L = 0.20000000000000004, phi_i_H = 4.4, Action: phi_i_L[0] decreased by 0.1
Episode 9760: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 8.899999999999988, Action: phi_i_L[0] decreased by 0.1
Episode 9761: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 3.4000000000000012, Action: phi_i_H[0] decreased by 0.1
Episode 9771: lambda_i = 1, phi_i_L = 1.2, phi_i_H = 7.099999999999989, Action: phi_i_H[0] decreased by 0.1
Episode 9773: lambda_i = 2, phi_i_L = 1.3999999999999995, phi_i_H = 8.899999999999988, Action: phi_i_L[2] increased by 0.1
Episode 9801: lambda_i = 5, phi_i_L = 0.30000000000000004, phi_i_H = 4.799999999999999, Action: phi_i_L[2] increased by 0.1
Episode 9816: lambda_i = 1, phi_i_L = 1.2, phi_i_H = 7.099999999999989, Action: phi_i_L[2] increased by 0.1
Episode 9822: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 3.4000000000000012, Action: phi_i_L[0] decreased by 0.1
Episode 9832: lambda_i = 3, phi_i_L = 0.20000000000000004, phi_i_H = 4.4, Action: phi_i_L[0] decreased by 0.1
Episode 9838: lambda_i = 4, phi_i_L = 0.20000000000000004, phi_i_H = 4.100000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 9845: lambda_i = 3, phi_i_L = 0.20000000000000004, phi_i_H = 4.4, Action: phi_i_L[4] decreased by 0.1
Episode 9853: lambda_i = 4, phi_i_L = 0.20000000000000004, phi_i_H = 4.100000000000001, Action: phi_i_L[4] decreased by 0.1
Episode 9864: lambda_i = 5, phi_i_L = 0.30000000000000004, phi_i_H = 4.899999999999999, Action: phi_i_H[5] increased by 0.1
Episode 9874: lambda_i = 2, phi_i_L = 1.3999999999999995, phi_i_H = 8.899999999999988, Action: phi_i_H[5] increased by 0.1
Episode 9880: lambda_i = 5, phi_i_L = 0.30000000000000004, phi_i_H = 4.899999999999999, Action: phi_i_H[5] increased by 0.1
Episode 9895: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 3.4000000000000012, Action: phi_i_H[5] increased by 0.1
Episode 9908: lambda_i = 1, phi_i_L = 1.2, phi_i_H = 7.099999999999989, Action: phi_i_H[5] increased by 0.1
Episode 9927: lambda_i = 3, phi_i_L = 0.20000000000000004, phi_i_H = 4.4, Action: phi_i_H[5] increased by 0.1
Episode 9928: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 8.899999999999988, Action: phi_i_L[2] decreased by 0.1
Episode 9944: lambda_i = 4, phi_i_L = 0.20000000000000004, phi_i_H = 4.100000000000001, Action: phi_i_L[2] decreased by 0.1
Episode 9954: lambda_i = 1, phi_i_L = 1.2, phi_i_H = 7.199999999999989, Action: phi_i_H[1] increased by 0.1
Episode 9959: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 3.4000000000000012, Action: phi_i_L[0] decreased by 0.1
Episode 9970: lambda_i = 2, phi_i_L = 1.2999999999999994, phi_i_H = 8.999999999999988, Action: phi_i_H[2] increased by 0.1
Episode 9976: lambda_i = 0, phi_i_L = 0.1, phi_i_H = 3.4000000000000012, Action: phi_i_H[2] increased by 0.1
Episode 9989: lambda_i = 5, phi_i_L = 0.20000000000000004, phi_i_H = 4.899999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 9990: lambda_i = 3, phi_i_L = 0.20000000000000004, phi_i_H = 4.4, Action: phi_i_L[5] decreased by 0.1
